REF_DATE,GEO,DGUID,Condominium status,Residency status,Estimates,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,"Toronto, census metropolitan area",2011S0503535,Not condominium,Non-resident,Total value,Dollars,81,units ,0,v116891297,1.3.3.4,18475072200,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses","Total, all residency status categories",Number,Number,223,units ,0,v116891298,2.1.1.1,30184,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses","Total, all residency status categories",Median value,Dollars,81,units ,0,v116891299,2.1.1.2,494000,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses","Total, all residency status categories",Average value,Dollars,81,units ,0,v116891300,2.1.1.3,527900,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses","Total, all residency status categories",Total value,Dollars,81,units ,0,v116891301,2.1.1.4,15932973100,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Resident,Number,Number,223,units ,0,v116891302,2.1.2.1,29939,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Resident,Median value,Dollars,81,units ,0,v116891303,2.1.2.2,494000,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Resident,Average value,Dollars,81,units ,0,v116891304,2.1.2.3,527900,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Resident,Total value,Dollars,81,units ,0,v116891305,2.1.2.4,15806073700,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Non-resident,Number,Number,223,units ,0,v116891306,2.1.3.1,245,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Non-resident,Median value,Dollars,81,units ,0,v116891307,2.1.3.2,461000,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Non-resident,Average value,Dollars,81,units ,0,v116891308,2.1.3.3,518000,,,,0
2017,Pickering,2011A00053518001,"Total, all condominium statuses",Non-resident,Total value,Dollars,81,units ,0,v116891309,2.1.3.4,126899400,,,,0
2017,Pickering,2011A00053518001,Condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891310,2.2.1.1,4109,,,,0
2017,Pickering,2011A00053518001,Condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891311,2.2.1.2,283000,,,,0
2017,Pickering,2011A00053518001,Condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891312,2.2.1.3,298200,,,,0
2017,Pickering,2011A00053518001,Condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891313,2.2.1.4,1225392000,,,,0
2017,Pickering,2011A00053518001,Condominium,Resident,Number,Number,223,units ,0,v116891314,2.2.2.1,4057,,,,0
2017,Pickering,2011A00053518001,Condominium,Resident,Median value,Dollars,81,units ,0,v116891315,2.2.2.2,283000,,,,0
2017,Pickering,2011A00053518001,Condominium,Resident,Average value,Dollars,81,units ,0,v116891316,2.2.2.3,298400,,,,0
2017,Pickering,2011A00053518001,Condominium,Resident,Total value,Dollars,81,units ,0,v116891317,2.2.2.4,1210432000,,,,0
2017,Pickering,2011A00053518001,Condominium,Non-resident,Number,Number,223,units ,0,v116891318,2.2.3.1,52,,,,0
2017,Pickering,2011A00053518001,Condominium,Non-resident,Median value,Dollars,81,units ,0,v116891319,2.2.3.2,274500,,,,0
2017,Pickering,2011A00053518001,Condominium,Non-resident,Average value,Dollars,81,units ,0,v116891320,2.2.3.3,287700,,,,0
2017,Pickering,2011A00053518001,Condominium,Non-resident,Total value,Dollars,81,units ,0,v116891321,2.2.3.4,14960000,,,,0
2017,Pickering,2011A00053518001,Not condominium,"Total, all residency status categories",Number,Number,223,units ,0,v116891322,2.3.1.1,26075,,,,0
2017,Pickering,2011A00053518001,Not condominium,"Total, all residency status categories",Median value,Dollars,81,units ,0,v116891323,2.3.1.2,521000,,,,0
2017,Pickering,2011A00053518001,Not condominium,"Total, all residency status categories",Average value,Dollars,81,units ,0,v116891324,2.3.1.3,564000,,,,0
2017,Pickering,2011A00053518001,Not condominium,"Total, all residency status categories",Total value,Dollars,81,units ,0,v116891325,2.3.1.4,14707581100,,,,0
2017,Pickering,2011A00053518001,Not condominium,Resident,Number,Number,223,units ,0,v116891326,2.3.2.1,25882,,,,0
2017,Pickering,2011A00053518001,Not condominium,Resident,Median value,Dollars,81,units ,0,v116891327,2.3.2.2,521000,,,,0
2017,Pickering,2011A00053518001,Not condominium,Resident,Average value,Dollars,81,units ,0,v116891328,2.3.2.3,563900,,,,0
2017,Pickering,2011A00053518001,Not condominium,Resident,Total value,Dollars,81,units ,0,v116891329,2.3.2.4,14595641700,,,,0
2017,Pickering,2011A00053518001,Not condominium,Non-resident,Number,Number,223,units ,0,v116891330,2.3.3.1,193,,,,0
2017,Pickering,2011A00053518001,Not condominium,Non-resident,Median value,Dollars,81,units ,0,v116891331,2.3.3.2,506000,,,,0
2017,Pickering,2011A00053518001,Not condominium,Non-resident,Average value,Dollars,81,units ,0,v116891332,2.3.3.3,580000,,,,0
